X,Y,Z
0,0,460.87495
1,0,441.42632
2,0,429.21093
3,0,423.28914
4,0,436.67002
5,0,475.09884
6,0,522.85835
7,0,511.77763
8,0,432.40951
9,0,348.6631
10,0,293.51308
11,0,249.22496
12,0,206.79098
13,0,176.33131
14,0,159.3085
15,0,157.90993
16,0,171.87284
17,0,185.26008
18,0,162.25655
19,0,153.87331
20,0,154.89534
21,0,111.21018
22,0,55.657088
23,0,15.054585
24,0,3.1496533
25,0,10.663123
26,0,36.012353
27,0,80.234648
28,0,122.80027
29,0,113.08633
30,0,94.356698
31,0,94.602962
32,0,120.61359
33,0,170.08871
34,0,165.71153
35,0,146.53598
36,0,144.97618
37,0,157.51172
38,0,174.19985
39,0,196.38567
40,0,227.20703
41,0,255.66398
42,0,273.1738
43,0,304.39681
44,0,355.73345
45,0,422.63633
46,0,490.95093
47,0,532.68982
48,0,570.24378
49,0,584.26663
50,0,531.00559
51,0,454.33736
52,0,403.55876
53,0,383.79666
54,0,357.78726
55,0,336.08965
56,0,311.97962
57,0,315.30203
58,0,356.16384
59,0,409.4367
60,0,404.48673
61,0,371.93378
62,0,350.05816
63,0,262.06068
64,0,192.1163
65,0,157.4295
66,0,148.33834
67,0,149.79677
68,0,143.19606
69,0,92.504457
70,0,48.207228
71,0,29.360736
72,0,27.863724
73,0,28.631268
74,0,14.643874
75,0,16.116102
76,0,44.031579
77,0,101.14816
78,0,131.3776
79,0,157.81004
80,0,167.28428
81,0,181.20804
82,0,216.86079
83,0,274.81405
84,0,350.70164
85,0,427.40674
86,0,506.7848
87,0,556.88961
88,0,591.21188
89,0,602.19102
90,0,533.43121
91,0,465.39108
92,0,442.48583
93,0,452.09922
94,0,500.54772
95,0,542.69629
96,0,544.0586
97,0,508.83079
98,0,496.59772
99,0,490.06966
0,1,419.25942
1,1,388.64645
2,1,380.661
3,1,391.04747
4,1,425.38323
5,1,478.47952
6,1,522.32755
7,1,479.9223
8,1,410.55904
9,1,356.07397
10,1,324.32015
11,1,285.22552
12,1,233.06808
13,1,189.6722
14,1,157.92278
15,1,139.44031
16,1,133.15337
17,1,127.41964
18,1,100.56792
19,1,87.660679
20,1,77.82403
21,1,46.602389
22,1,19.489109
23,1,7.1957512
24,1,12.400788
25,1,36.669067
26,1,76.090488
27,1,116.44802
28,1,161.55898
29,1,160.25293
30,1,144.42185
31,1,147.31487
32,1,179.77099
33,1,226.89586
34,1,234.52144
35,1,181.24418
36,1,159.21116
37,1,161.1429
38,1,180.0734
39,1,221.9391
40,1,273.1712
41,1,303.03322
42,1,302.64785
43,1,312.50391
44,1,338.59263
45,1,384.80818
46,1,442.44919
47,1,508.40375
48,1,568.72172
49,1,567.21587
50,1,502.99701
51,1,441.62732
52,1,410.715
53,1,410.15652
54,1,413.95971
55,1,426.68454
56,1,383.48829
57,1,370.94874
58,1,389.75747
59,1,423.2193
60,1,387.84956
61,1,342.74821
62,1,295.39959
63,1,241.46626
64,1,198.36436
65,1,186.85691
66,1,195.21642
67,1,191.13339
68,1,154.36846
69,1,88.075571
70,1,55.045495
71,1,52.330836
72,1,75.25298
73,1,93.202974
74,1,51.296544
75,1,34.115985
76,1,43.300877
77,1,80.63033
78,1,137.95796
79,1,200.01259
80,1,218.83829
81,1,219.71489
82,1,234.66185
83,1,279.26205
84,1,348.52998
85,1,432.87023
86,1,510.5608
87,1,552.41111
88,1,572.4805
89,1,582.1585
90,1,520.6419
91,1,451.20108
92,1,413.43795
93,1,404.1952
94,1,425.48624
95,1,460.33625
96,1,450.51021
97,1,437.55289
98,1,444.51057
99,1,454.11099
0,2,367.70485
1,2,347.2953
2,2,353.9851
3,2,385.1363
4,2,439.56361
5,2,499.05218
6,2,527.26942
7,2,474.15953
8,2,420.51091
9,2,392.64639
10,2,364.10467
11,2,313.21119
12,2,262.89996
13,2,225.37254
14,2,180.45598
15,2,142.27923
16,2,116.31006
17,2,97.898339
18,2,76.448301
19,2,60.858859
20,2,47.874843
21,2,25.07458
22,2,13.331886
23,2,16.830104
24,2,45.016731
25,2,89.065896
26,2,121.43482
27,2,160.29013
28,2,207.43195
29,2,234.3884
30,2,215.35588
31,2,207.57363
32,2,225.5506
33,2,266.60661
34,2,272.46638
